Mouse genes	Human genes
4933434E20Rik	C1orf43
Gm129	C1orf51
BC028528	C1orf54
Cadm3	CADM3
Cks1b	CKS1B
F11r	F11R
Fcgr1	FCGR1A
Hist2h2aa1	HIST2H2AA3
Hist2h2ac	HIST2H2AC
Hist2h2be	HIST2H2BE
Hist2h3b	HIST2H3B
Hist2h3c1	HIST2H3C
Hist2h4	HIST2H4A
Otud7b	OTUD7B
Plekho1	PLEKHO1
Rab13	RAB13
Sema6c	SEMA6C
Sf3b4	SF3B4
Smg5	SMG5
Sv2a	SV2A
Syt11	SYT11
Tpm3	TPM3
Vps45	VPS45
Adam15	ADAM15
Adamtsl4	ADAMTSL4
Atp8b2	ATP8B2
Bnipl	BNIPL
1700094D03Rik	C1orf189
Gm128	C1orf56
2310050C09Rik	C1orf68
Cd48	CD48
Cdc42se1	CDC42SE1
Lass2	CERS2
Chrnb2	CHRNB2
2500003M10Rik	CHTOP
Crabp2	CRABP2
Creb3l4	CREB3L4
Crtc2	CRTC2
Ensa	ENSA
Fam63a	FAM63A
Flad1	FLAD1
Flg	FLG
Flg2	FLG2
Gabpb2	GABPB2
Gatad2b	GATAD2B
Golph3l	GOLPH3L
Hax1	HAX1
Hormad1	HORMAD1
Ilf2	ILF2
Ints3	INTS3
Iqgap3	IQGAP3
Itln1	ITLN1
Kcnn3	KCNN3
Kprp	KPRP
Lce1m	LCE1D
Lce3f	LCE3B
Lce6a	LCE6A
Lelp1	LELP1
Lingo4	LINGO4
Lysmd1	LYSMD1
Nup210l	NUP210L
Oaz3	OAZ3
Pbxip1	PBXIP1
Pip5k1a	PIP5K1A
Pogz	POGZ
Prr9	PRR9
Psmd4	PSMD4
Pygo2	PYGO2
Rhbg	RHBG
Riiad1	RIIAD1
Rprd2	RPRD2
Rptn	RPTN
S100a14	S100A14
S100a7a	S100A7A
Scnm1	SCNM1
Selenbp1	SELENBP1
She	SHE
Slc27a3	SLC27A3
Smcp	SMCP
Snapin	SNAPIN
Snx27	SNX27
Sprr4	SPRR4
Tars2	TARS2
Tchh	TCHH
Tchhl1	TCHHL1
Them5	THEM5
Tnfaip8l2	TNFAIP8L2
Ubap2l	UBAP2L
Ube2q1	UBE2Q1
Zbtb7b	ZBTB7B
Zfp687	ZNF687
Aim2	AIM2
Ash1l	ASH1L
Atf6	ATF6
1700021C14Rik	C1orf182
0610031J06Rik	C1orf85
Ccdc19	CCDC19
Cd1d1	CD1D
Cd247	CD247
Dap3	DAP3
Dcaf8	DCAF8
Dcst1	DCST1
Dcst2	DCST2
Dpm3	DPM3
Dusp27	DUSP27
Fdps	FDPS
Gon4l	GON4L
Gpatch4	GPATCH4
Hcn3	HCN3
Ifi204	IFI16
Igsf9	IGSF9
2810403A07Rik	KIAA0907
Krtcap2	KRTCAP2
Lamtor2	LAMTOR2
Lenep	LENEP
Lmna	LMNA
Mex3a	MEX3A
Msto1	MSTO1
Ncstn	NCSTN
Nhlh1	NHLH1
Paqr6	PAQR6
Pmvk	PMVK
Ppox	PPOX
Pvrl4	PVRL4
Rab25	RAB25
Rit1	RIT1
Rxfp4	RXFP4
Rxrg	RXRG
Sele	SELE
Selp	SELP
Sema4a	SEMA4A
Ski	SKI
Slc25a44	SLC25A44
Slc50a1	SLC50A1
Tmco1	TMCO1
Tmem79	TMEM79
Trim46	TRIM46
Usf1	USF1
Usp21	USP21
Vangl2	VANGL2
Cct3	CCT3
F5	F5
Fasl	FASLG
Fcer1a	FCER1A
Fcer1g	FCER1G
Fcgr3	FCGR2A
Fcgr2b	FCGR2B
Fcgr4	FCGR3A
Hsd17b7	HSD17B7
Mgst3	MGST3
Myoc	MYOC
Ndufs2	NDUFS2
Pappa2	PAPPA2
Pbx1	PBX1
Pigc	PIGC
Sell	SELL
Serpinc1	SERPINC1
Tnfsf18	TNFSF18
Tnn	TNN
Uck2	UCK2
Xcl1	XCL1
Aldh9a1	ALDH9A1
Etv3l	ETV3L
Hapln2	HAPLN2
Igsf8	IGSF8
Isg20l2	ISG20L2
4933430H15Rik	LRRC71
Nes	NES
Olfr433	OR10AA1P
Olfr370	OR10K2
Olfr1406	OR10R2
Olfr1358	OR10T2
Olfr417	OR10X1
Olfr419	OR10Z1
Olfr420	OR6K2
Olfr421	OR6K3
Olfr231	OR6K6
Olfr429	OR6N1
Olfr430	OR6N2
Olfr414	OR6P1
Olfr220	OR6Y1
Pear1	PEAR1
Rgs5	RGS5
Rrnad1	RRNAD1
Slamf7	SLAMF7
Ttc24	TTC24
Copa	COPA
Dusp23	DUSP23
Fcrl6	FCRL6
Kcnj10	KCNJ10
Kcnj9	KCNJ9
Olfr1408	OR10J1
Olfr1404	OR10J3
Olfr16	OR10J5
Pex19	PEX19
Pigm	PIGM
Slamf6	SLAMF6
Slamf8	SLAMF8
Slamf9	SLAMF9
Tiprl	TIPRL
Vsig8	VSIG8
Arhgap30	ARHGAP30
1700084C01Rik	C1orf110
1700015E13Rik	C1orf111
1700009P17Rik	C1orf192
Gm7694	C1orf226
Cd244	CD244
Ddr2	DDR2
Dedd	DEDD
Fcrla	FCRLA
Fcrlb	FCRLB
Klhdc9	KLHDC9
Ly9	LY9
Mpz	MPZ
Nos1ap	NOS1AP
Nr1i3	NR1I3
Nuf2	NUF2
Olfml2b	OLFML2B
Pcp4l1	PCP4L1
Pfdn2	PFDN2
Prrc2c	PRRC2C
Rgs4	RGS4
Sdhc	SDHC
Sh2d1b1	SH2D1B
Slamf1	SLAMF1
Slc19a2	SLC19A2
Tomm40l	TOMM40L
Tstd1	TSTD1
Uap1	UAP1
Ufc1	UFC1
Uhmk1	UHMK1
Adcy10	ADCY10
Atp1b1	ATP1B1
Blzf1	BLZF1
Brp44	BRP44
4930455F23Rik	C1orf114
AI848100	C1orf9
Cacybp	CACYBP
Cd84	CD84
Creg1	CREG1
Fam5b	FAM5B
Gpr52	GPR52
4930523C07Rik	KIAA0040
Mettl13	METTL13
Nme7	NME7
Prrx1	PRRX1
Qsox1	QSOX1
Rabgap1l	RABGAP1L
Rasal2	RASAL2
Tnr	TNR
Vamp4	VAMP4
Fam78b	FAM78B
Fmo9	FMO9P
Gpa33	GPA33
Ildr2	ILDR2
Lmx1a	LMX1A
Lrrc52	LRRC52
Mael	MAEL
Pogk	POGK
Tada1	TADA1
BC055324	C1orf112
Dcaf6	DCAF6
Gorab	GORAB
Gpr161	GPR161
Kifap3	KIFAP3
Mettl11b	METTL11B
2810422O20Rik	METTL18
Mpzl1	MPZL1
Pou2f1	POU2F1
Rcsd1	RCSD1
Scyl3	SCYL3
Sft2d2	SFT2D2
Tbx19	TBX19
Tor1aip1	TOR1AIP1
4930558K02Rik	C1orf105
4921528O07Rik	C1orf129
Dnm3	DNM3
Fmo1	FMO1
Fmo2	FMO2
Fmo3	FMO3
Fmo4	FMO4
Fmo6	FMO6P
1700025G04Rik	C1orf21
BC003331	C1orf27
Cacna1e	CACNA1E
Cdc73	CDC73
Dhx9	DHX9
Edem3	EDEM3
Fam129a	FAM129A
Fam20b	FAM20B
Glt25d2	GLT25D2
Lamc2	LAMC2
Ncf2	NCF2
Nmnat2	NMNAT2
Npl	NPL
Pepc	PEPC
Pla2g4a	PLA2G4A
Prg4	PRG4
Rgs16	RGS16
Rgs8	RGS8
Rnasel	RNASEL
Smg7	SMG7
Soat1	SOAT1
1200016B10Rik	SWT1
Tnfsf4	TNFSF4
Tpr	TPR
Tsen15	TSEN15
Acbd6	ACBD6
Ankrd45	ANKRD45
Cenpl	CENPL
Dars2	DARS2
Ivns1abp	IVNS1ABP
Klhl20	KLHL20
Lad1	LAD1
Mrps14	MRPS14
Prdx6	PRDX6
Rc3h1	RC3H1
Rfwd2	RFWD2
Scarna3a	SCARNA3
Snord47	SNORD47
Xpr1	XPR1
Zbtb37	ZBTB37
Abl2	ABL2
Angptl1	ANGPTL1
Astn1	ASTN1
9430070O13Rik	AXDND1
1700057K13Rik	C1orf49
Fam163a	FAM163A
Lhx4	LHX4
4930439D14Rik	LOC646976
Nphs2	NPHS2
Pdc	PDC
Ptgs2	PTGS2
Ralgps2	RALGPS2
Sec16b	SEC16B
Tdrd5	TDRD5
Tor1aip2	TOR1AIP2
Tor3a	TOR3A
1190005F20Rik	TRMT1L
Arpc5	ARPC5
Hmcn2	HMCN1
Ier5	IER5
BC034090	KIAA1614
Gm10713	LOC730144
Mr1	MR1
Rgl1	RGL1
Rnf2	RNF2
1700012A16Rik	SHCBP1L
Stx6	STX6
Teddm1	TEDDM1
Zfp648	ZNF648
Aspm	ASPM
B3galt2	B3GALT2
Bcan	BCAN
Cdk18	CDK18
Chit1	CHIT1
Crb1	CRB1
Ctse	CTSE
F13b	F13B
Glul	GLUL
Il10	IL10
Lamc1	LAMC1
Myog	MYOG
Pfkfb2	PFKFB2
Phlda3	PHLDA3
Pigr	PIGR
Psen2	PSEN2
Ptprc	PTPRC
Rgs1	RGS1
Rgs2	RGS2
Trove2	TROVE2
Fam5c	FAM5C
Lhx9	LHX9
Rgs21	RGS21
Glrx2	GLRX2
Rgs13	RGS13
Rgs18	RGS18
Atp6v1g3	ATP6V1G3
2310009B15Rik	C1orf53
Cfhr2	CFHR2
Dennd1b	DENND1B
Kcnt2	KCNT2
Nek7	NEK7
Tnni1	TNNI1
Zbtb41	ZBTB41
Avpr1b	AVPR1B
Btg2	BTG2
C4bp	C4BPA
C4bp-ps1	C4BPB
Cacna1s	CACNA1S
Camk1g	CAMK1G
Cd34	CD34
Cd46	CD46
Cd55	CD55
Cenpf	CENPF
Cfh	CFH
Cfhr1	CFHR1
Cr2	CR2
Csrp1	CSRP1
Dtl	DTL
Elk4	ELK4
Fmod	FMOD
Guk1	GUK1
Hhat	HHAT
Hsd11b1	HSD11B1
Il20	IL20
Il24	IL24
Kiss1	KISS1
Lamb3	LAMB3
Lmod1	LMOD1
Lpgat1	LPGAT1
Mapkapk2	MAPKAPK2
Mdm4	MDM4
Pik3c2b	PIK3C2B
Pkp1	PKP1
Prelp	PRELP
Rab7l1	RAB7L1
Rbbp5	RBBP5
Ren1	REN
Rnpep	RNPEP
Snrpe	SNRPE
Sox13	SOX13
Tnnt2	TNNT2
Traf3ip3	TRAF3IP3
Traf5	TRAF5
Uchl5	UCHL5
Adora1	ADORA1
Arl8a	ARL8A
Ascl5-ps	ASCL5
Atp2b4	ATP2B4
5730559C18Rik	C1orf106
AA986860	C1orf116
2310006M14Rik	C1orf81
Camsap2	CAMSAP2
Chi3l1	CHI3L1
Cntn2	CNTN2
Cr1l	CR1L
Ddx59	DDX59
Dstyk	DSTYK
Dyrk3	DYRK3
Eif2d	EIF2D
Etnk2	ETNK2
Faim3	FAIM3
Fam58b	FAM58BP
Fam72a	FAM72A
Fcamr	FCAMR
Golt1a	GOLT1A
Gpr25	GPR25
Gpr37l1	GPR37L1
Igfn1	IGFN1
Ikbke	IKBKE
Ipo9	IPO9
Kdm5b	KDM5B
Kif14	KIF14
Klhdc8a	KLHDC8A
Klhl12	KLHL12
Lax1	LAX1
Lemd1	LEMD1
Lgr6	LGR6
Lrrn2	LRRN2
Mfsd4	MFSD4
Mybph	MYBPH
Nfasc	NFASC
Nr5a2	NR5A2
Nuak2	NUAK2
Nucks1	NUCKS1
Optc	OPTC
Plekha6	PLEKHA6
Pm20d1	PM20D1
Ppfia4	PPFIA4
Ppp1r12b	PPP1R12B
Ppp1r15b	PPP1R15B
Ptpn7	PTPN7
Ptprv	PTPRVP
Rabif	RABIF
Rassf5	RASSF5
Sertad4	SERTAD4
Shisa4	SHISA4
Slc26a9	SLC26A9
Slc41a1	SLC41A1
Slc45a3	SLC45A3
Srgap2	SRGAP2
Syt2	SYT2
Timm17a	TIMM17A
Tmcc2	TMCC2
Tmem183a	TMEM183A
Tmem81	TMEM81
Ube2t	UBE2T
Zbed6	ZBED6
Zc3h11a	ZC3H11A
Zfp281	ZNF281
A130010J15Rik	C1orf74
Diexf	DIEXF
Elf3	ELF3
G0s2	G0S2
Il19	IL19
Kcnh1	KCNH1
Nek2	NEK2
Plxna2	PLXNA2
Ppp2r5a	PPP2R5A
Ptpn14	PTPN14
Rcor3	RCOR3
Syt14	SYT14
Yod1	YOD1
Angel2	ANGEL2
Atf3	ATF3
Batf3	BATF3
1700022P22Rik	C1orf227
Fam71a	FAM71A
Mfsd7b	FLVCR1
Irf6	IRF6
Nav1	NAV1
Nenf	NENF
Rd3	RD3
Slc30a1	SLC30A1
Smyd2	SMYD2
Tatdn3	TATDN3
Tmem206	TMEM206
Vash2	VASH2
Aida	AIDA
Bpnt1	BPNT1
Brox	BROX
C130074G19Rik	C1orf115
4922505E12Rik	C1orf65
Capn2	CAPN2
Capn8	CAPN8
Disp1	DISP1
Dusp10	DUSP10
Eprs	EPRS
Esrrg	ESRRG
Galnt2	GALNT2
Gpatch2	GPATCH2
Hhipl2	HHIPL2
Hlx	HLX
Iars2	IARS2
Kcnk2	KCNK2
Kctd3	KCTD3
Lyplal1	LYPLAL1
Mosc1	MARC1
Mosc2	MARC2
Mark1	MARK1
Mia3	MIA3
Nsl1	NSL1
Nvl	NVL
Parp1	PARP1
Prox1	PROX1
Rab3gap2	RAB3GAP2
Rps6kc1	RPS6KC1
Rrp15	RRP15
Slc30a10	SLC30A10
Snora36b	SNORA36B
Spata17	SPATA17
Susd4	SUSD4
Tgfb2	TGFB2
Tlr5	TLR5
Tmem9	TMEM9
Trp53bp2	TP53BP2
Ush2a	USH2A
Actn2	ACTN2
Arf1	ARF1
Chml	CHML
Exo1	EXO1
Gnpat	GNPAT
Gpr137b	GPR137B
Kcnk1	KCNK1
BC021891	KIAA1804
Kmo	KMO
Rab4a	RAB4A
Taf1a	TAF1A
Tomm20	TOMM20
Trim17	TRIM17
Wnt3a	WNT3A
Wnt9a	WNT9A
Arid4b	ARID4B
Disc1	DISC1
Egln1	EGLN1
Ephx1	EPHX1
Fh1	FH
Lbr	LBR
Lefty1	LEFTY1
Lefty2	LEFTY2
Lyst	LYST
Tsnax	TSNAX
Capn9	CAPN9
Cdc42bpa	CDC42BPA
Cnih4	CNIH4
Degs1	DEGS1
Fbxo28	FBXO28
Rhou	RHOU
Rn5s	RN5S1@
Acbd3	ACBD3
Gm505	C1orf124
BC031781	C1orf55
6330403A02Rik	C1orf95
Cnih3	CNIH3
Dnahc14	DNAH14
Enah	ENAH
H3f3a	H3F3A
Lin9	LIN9
Mixl1	MIXL1
Pycr2	PYCR2
Srp9	SRP9
Tmem63a	TMEM63A
Abcb10	ABCB10
Acta1	ACTA1
Adck3	ADCK3
2310033P09Rik	C1orf35
1700054N08Rik	C1orf96
Gjc2	GJC2
Hist3h2a	HIST3H2A
Hist3h2ba	HIST3H2BA
Hist3h2bb-ps	HIST3H2BB
A230051G13Rik	IBA57
Itpkb	ITPKB
Jmjd4	JMJD4
Mrpl55	MRPL55
Nup133	NUP133
Obscn	OBSCN
Pgbd5	PGBD5
Prss38	PRSS38
Rnf187	RNF187
Snap47	SNAP47
Taf5l	TAF5L
Trim11	TRIM11
Urb2	URB2
Wdr26	WDR26
Agt	AGT
Arv1	ARV1
2810004N23Rik	C1orf131
2310022B05Rik	C1orf198
1810063B05Rik	C1orf31
Cog2	COG2
Ero1lb	ERO1LB
Exoc8	EXOC8
Fam89a	FAM89A
4933403G14Rik	KIAA1383
Ntpcr	NTPCR
Pcnxl2	PCNXL2
Sipa1l2	SIPA1L2
Slc35f3	SLC35F3
Trim67	TRIM67
Ttc13	TTC13
B3galnt2	B3GALNT2
Edaradd	EDARADD
Gng4	GNG4
Irf2bp2	IRF2BP2
Rbm34	RBM34
Gm17296	TARBP1
Tbce	TBCE
Chrm3	CHRM3
Fmn2	FMN2
Ggps1	GGPS1
Grem2	GREM2
Heatr1	HEATR1
Lgals8	LGALS8
Mtr	MTR
Nid1	NID1
Opn3	OPN3
Pld5	PLD5
Rgs7	RGS7
Ryr2	RYR2
Sdccag8	SDCCAG8
Wdr64	WDR64
Zp4-ps	ZP4
Ahctf1	AHCTF1
Akt3	AKT3
1700016C15Rik	C1orf100
Gm7068	C1orf101
Cep170	CEP170
Cnst	CNST
Efcab2	EFCAB2
Fam36a	FAM36A
Hnrnpu	HNRNPU
AI503316	HNRNPU-AS1
Kif26b	KIF26B
2210415F13Rik	LOC646627
4933439C10Rik	LOC729810
Nlrp3	NLRP3
Olfr323	OR11L1
Olfr309	OR13G1
Olfr305	OR14A16
Olfr310	OR14C36
Olfr298	OR14I1
Olfr374	OR1C1
Olfr169	OR2AJ1
Olfr222	OR2B11
Olfr225	OR2C3
Olfr168	OR2L13
Olfr166	OR2L3
Olfr167	OR2L8
Olfr164	OR2M3
Olfr165	OR2M5
Olfr31	OR2T1
Olfr315	OR2T33
Olfr329-ps	OR2T4
Olfr720	OR2T6
Olfr314	OR2T8
Olfr179	OR2W3
Olfr308	OR6F1
Pppde1	PPPDE1
Sccpdh	SCCPDH
Sh3bp5l	SH3BP5L
Smyd3	SMYD3
Tfb2m	TFB2M
Trim58	TRIM58
Vmn1r11	VN1R5
Zfp825	ZNF124
Zfp238	ZNF238
Zkscan17	ZNF496
Zfp672	ZNF672
Zfp692	ZNF692
Apitd1	APITD1
Apobec4	APOBEC4
C2cd4d	C2CD4D
Gm4248	HMGN2P18
A330043J11Rik	LOC100506257
4933406M09Rik	LOC100506747
1810030J14Rik	MPTX
Rgsl1	RGSL1
Slc2a7	SLC2A7
Snord45b	SNORD45B
Spata1	SPATA1
Toe1	TOE1
Ttc34	TTC34
Gm12942	ZMYM6NB
Itsn2	ITSN2
0610009D07Rik	SF3B14
Adi1	ADI1
Colec11	COLEC11
Dcdc2c	DCDC2C
Fam110c	FAM110C
Fam150b	FAM150B
Myt1l	MYT1L
Sh3yl1	SH3YL1
Sntg2	SNTG2
Tmem18	TMEM18
Ttc15	TRAPPC12
Tssc1	TSSC1
Cmpk2	CMPK2
Itgb1bp1	ITGB1BP1
Rnf144a	RNF144A
Rsad2	RSAD2
Atp6v1c2	ATP6V1C2
2410004P03Rik	C2orf50
Cpsf3	CPSF3
Cys1	CYS1
Dync2li1	DYNC2LI1
E2f6	E2F6
Greb1	GREB1
Grhl1	GRHL1
Hpcal1	HPCAL1
Iah1	IAH1
Lpin1	LPIN1
Mboat2	MBOAT2
Nol10	NOL10
Ntsr2	NTSR2
Pdia6	PDIA6
Pqlc3	PQLC3
Rasgrp3	RASGRP3
Ywhaq	YWHAQ
Acp1	ACP1
Adam17	ADAM17
Asap2	ASAP2
Id2	ID2
Kcnf1	KCNF1
Klf11	KLF11
Odc1	ODC1
Pxdn	PXDN
Rnaseh1	RNASEH1
Rps7	RPS7
Rrm2	RRM2
Sox11	SOX11
Taf1b	TAF1B
Tpo	TPO
Asnsd1	ASNSD1
Fam84a	FAM84A
Mycn	MYCN
Tmbim1	TMBIM1
Tprkb	TPRKB
Trib2	TRIB2
Ttll4	TTLL4
Vsnl1	VSNL1
Fam49a	FAM49A
Gen1	GEN1
Msgn1	MSGN1
Nt5c1b	NT5C1B
Rad51ap2	RAD51AP2
Rdh14	RDH14
Smc6	SMC6
Asxl2	ASXL2
Atad2b	ATAD2B
1110057K04Rik	C2orf43
Gdf7	GDF7
Hs1bp3	HS1BP3
Klhl29	KLHL29
Laptm4a	LAPTM4A
Osr1	OSR1
Sdc1	SDC1
Ttc32	TTC32
Wdr35	WDR35
Apob	APOB
Cenpa	CENPA
Ddx1	DDX1
Dtnb	DTNB
Kcns3	KCNS3
Kidins220	KIDINS220
Matn3	MATN3
Nbas	NBAS
Rhob	RHOB
Rock2	ROCK2
Spast	SPAST
Abhd1	ABHD1
Adcy3	ADCY3
Agbl5	AGBL5
4930471M23Rik	C2orf18
0610007C21Rik	C2orf28
BC068281	C2orf44
1700110M21Rik	C2orf53
1700001C02Rik	C2orf70
4930417G10Rik	C2orf84
Ccdc121	CCDC121
Ccdc164	CCDC164
Cenpo	CENPO
Cgref1	CGREF1
Cib4	CIB4
Dnajc27	DNAJC27
Dnajc5g	DNAJC5G
Dpysl5	DPYSL5
Efr3b	EFR3B
Eif2b4	EIF2B4
Emilin1	EMILIN1
Ept1	EPT1
Fam59b	FAM59B
Fkbp1b	FKBP1B
Fndc4	FNDC4
Fosl2	FOSL2
Gpn1	GPN1
Gpr113	GPR113
Gtf3c2	GTF3C2
Ift172	IFT172
Khk	KHK
Krtcap3	KRTCAP3
A830093I24Rik	LOC375190
Gm13072	LOC391358
Mapre3	MAPRE3
Mfsd2b	MFSD2B
Mpv17	MPV17
Ost4	OST4
Pfn4	PFN4
Pomc	POMC
Ppm1g	PPM1G
Preb	PREB
2410017P09Rik	PTRHD1
Rab10	RAB10
Rbks	RBKS
Slc30a3	SLC30A3
Slc4a1ap	SLC4A1AP
Supt7l	SUPT7L
Tcf23	TCF23
Tmem214	TMEM214
Trim54	TRIM54
Ubxn2a	UBXN2A
Zfp513	ZNF513
Bre	BRE
BC027072	C2orf71
Clip4	CLIP4
Fam179a	FAM179A
Plb1	PLB1
Snord53	SNORD53
Snord92	SNORD92
Spdya	SPDYA
Wdr43	WDR43
Galnt14	GALNT14
Lbh	LBH
Lclat1	LCLAT1
Otof	OTOF
Xdh	XDH
Ypel5	YPEL5
Alk	ALK
Dnmt3a	DNMT3A
Gckr	GCKR
Hadha	HADHA
Hadhb	HADHB
Kcnk3	KCNK3
Kif3c	KIF3C
Ncoa1	NCOA1
Nrbp1	NRBP1
Ppp1cb	PPP1CB
Slc5a6	SLC5A6
Slc8a1	SLC8A1
Snx17	SNX17
Srd5a2	SRD5A2
Ucn	UCN
Zfp512	ZNF512
Atl2	ATL2
Birc6	BIRC6
Dpy30	DPY30
Fam98a	FAM98A
Gm10190	LOC375196
Slc30a6	SLC30A6
Ttc27	TTC27
Yipf4	YIPF4
Zfp36l2	ZFP36L2
2410091C18Rik	C2orf56
Ccdc75	CCDC75
Cebpz	CEBPZ
Cyp1b1	CYP1B1
Fam82a1	FAM82A1
Heatr5b	HEATR5B
Qpct	QPCT
Strn	STRN
Sult6b1	SULT6B1
Vit	VIT
Cdkl4	CDKL4
Dhx57	DHX57
Galm	GALM
Gemin6	GEMIN6
Hnrpll	HNRPLL
Map4k3	MAP4K3
Morn2	MORN2
Srsf7	SRSF7
Thumpd2	THUMPD2
Tmem178	TMEM178
Ttc39d	TTC39DP
Cad	CAD
Eif2ak2	EIF2AK2
Foxn2	FOXN2
Ltbp1	LTBP1
Memo1	MEMO1
Nlrc4	NLRC4
Pum2	PUM2
Abcg5	ABCG5
Abcg8	ABCG8
Atp6v1e2	ATP6V1E2
1700011E24Rik	C2orf61
Calm2	CALM2
1700106N22Rik	CAMKMT
Cdc42ep3	CDC42EP3
Cox7a2l	COX7A2L
Crim1	CRIM1
Cript	CRIPT
Ehd3	EHD3
Eml4	EML4
Epas1	EPAS1
Epcam	EPCAM
Fez2	FEZ2
Fshr	FSHR
Haao	HAAO
Kcng3	KCNG3
Lhcgr	LHCGR
1700090G07Rik	LOC388946
Lrpprc	LRPPRC
Mcfd2	MCFD2
Mrpl33	MRPL33
Msh2	MSH2
Mta3	MTA3
Pigf	PIGF
Pkdcc	PKDCC
Plekhh2	PLEKHH2
Ppm1b	PPM1B
Prepl	PREPL
Prkce	PRKCE
Prkd3	PRKD3
Rhoq	RHOQ
Gm6646	RPS12P4
Six2	SIX2
Six3	SIX3
Socs5	SOCS5
Sos1	SOS1
Spnb2	SPTBN1
Srbd1	SRBD1
Thada	THADA
Ttc7	TTC7A
Fbxo11	FBXO11
Gtf2a1l	GTF2A1L
Kcnk12	KCNK12
Nrxn1	NRXN1
Klraq1	PPP1R21
Rtn4	RTN4
Slc3a1	SLC3A1
Ston1	STON1
Acyp2	ACYP2
4930505A04Rik	C2orf73
Erlec1	ERLEC1
Psme4	PSME4
Gm3362	RPL23AP32
Bcl11a	BCL11A
1700034F02Rik	C2orf63
Ccdc104	CCDC104
Ccdc85a	CCDC85A
Ccdc88a	CCDC88A
Eml6	EML6
Fancl	FANCL
Mtif2	MTIF2
Papolg	PAPOLG
Pex13	PEX13
Prorsd1	PRORSD1P
Pus10	PUS10
Smek2	SMEK2
Vrk2	VRK2
Asb3	ASB3
Chac2	CHAC2
Efemp1	EFEMP1
Gpr75	GPR75
Msh6	MSH6
Rps27a	RPS27A
B3gnt2	B3GNT2
1700093K21Rik	C2orf74
Cct4	CCT4
Commd1	COMMD1
Ehbp1	EHBP1
Fam161a	FAM161A
Nfu1	NFU1
Pnpt1	PNPT1
Ppp3r1	PPP3R1
Slc1a4	SLC1A4
Tmem17	TMEM17
Usp34	USP34
Wdpcp	WDPCP
Xpo1	XPO1
Aak1	AAK1
Actr2	ACTR2
Aftph	AFTPH
Cep68	CEP68
Cnrip1	CNRIP1
Etaa1	ETAA1
1110067D22Rik	LGALSL
Meis1	MEIS1
Pno1	PNO1
Rab1	RAB1A
Sertad2	SERTAD2
Spr	SPR
Spred2	SPRED2
Ugp2	UGP2
Wdr92	WDR92
Add2	ADD2
Ankrd53	ANKRD53
Aplf	APLF
Arhgap25	ARHGAP25
Asprv1	ASPRV1
Bmp10	BMP10
C87436	C2orf42
Clec4f	CLEC4F
Dysf	DYSF
Fam136a	FAM136A
Fbxo48	FBXO48
Figla	FIGLA
Gkn1	GKN1
Gkn2	GKN2
Gmcl1	GMCL1
Mcee	MCEE
Mdh1	MDH1
Mphosph10	MPHOSPH10
Nagk	NAGK
Paip2b	PAIP2B
Pcyox1	PCYOX1
Peli1	PELI1
Plek	PLEK
Snrnp27	SNRNP27
Snrpg	SNRPG
Tex261	TEX261
Cct7	CCT7
Cyp26b1	CYP26B1
Emx1	EMX1
Exoc6b	EXOC6B
Fbxo41	FBXO41
Nat8	NAT8
Noto	NOTO
1700040I03Rik	PRADC1
Smyd5	SMYD5
Actg2	ACTG2
Antxr1	ANTXR1
Atp6v1b1	ATP6V1B1
Bola3	BOLA3
D6Mm5e	C2orf65
Gm6818	C2orf78
1700003E16Rik	C2orf81
Ccdc142	CCDC142
Dqx1	DQX1
Dusp11	DUSP11
Ino80b	INO80B
Lbx2	LBX2
Mob1a	MOB1A
Mogs	MOGS
Mrpl53	MRPL53
Mthfd2	MTHFD2
Pcgf1	PCGF1
Prokr1	PROKR1
Rtkn	RTKN
Sema4f	SEMA4F
Stambp	STAMBP
Tet3	TET3
Tlx2	TLX2
Wdr54	WDR54
Zfml	ZNF638
Adra2b	ADRA2B
Alms1	ALMS1
Anxa4	ANXA4
Aup1	AUP1
C1d	C1D
Cd207	CD207
Dctn1	DCTN1
Dguok	DGUOK
Dok1	DOK1
Egr4	EGR4
Gfpt1	GFPT1
Hk2	HK2
Loxl3	LOXL3
Mxd1	MXD1
Otx1	OTX1
Pcbp1	PCBP1
Rab11fip5	RAB11FIP5
Rel	REL
Sfxn5	SFXN5
Slc4a5	SLC4A5
Tgfa	TGFA
Tia1	TIA1
Vax2	VAX2
Vps54	VPS54
Cd8a	CD8A
Cd8b1	CD8B
Cnnm3	CNNM3
Ctnna2	CTNNA2
Eif2ak3	EIF2AK3
Fam176a	FAM176A
AW146020	GCFC2
Ggcx	GGCX
Htra2	HTRA2
Igkc	IGKC
Igk-V	IGKV@
4632411B12Rik	KANSL3
Lrrtm1	LRRTM1
Lrrtm4	LRRTM4
Pole4	POLE4
Reg1	REG1A
Reg2	REG1B
Reg3b	REG3A
Sftpb	SFTPB
Tacr1	TACR1
Vamp8	VAMP8
Wbp1	WBP1
Atoh8	ATOH8
1700011F03Rik	C2orf51
0610030E20Rik	C2orf68
Capg	CAPG
Chmp3	CHMP3
Elmod3	ELMOD3
Foxi3	FOXI3
Immt	IMMT
Kcmf1	KCMF1
Kdm3a	KDM3A
Krcc1	KRCC1
Dnahc6	LOC200383
Mat2a	MAT2A
Mrpl35	MRPL35
Mrps5	MRPS5
Polr1a	POLR1A
